@@ Method, Nodes, Edges, DUAs, SubDUAs, Perc, Time_s, Time_ms
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.getParseableExtraFieldsNoCopy,4,4,7,7,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.getParseableExtraFields,5,5,7,7,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.getAllExtraFieldsNoCopy,7,8,11,11,100.0,0,1
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.getUnparseableOnly,5,5,7,7,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.getAllExtraFields,5,5,7,7,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.findUnparseable,7,8,3,3,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.findMatching,7,8,5,5,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.addExtraField,9,11,20,18,90.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.addAsFirstExtraField,11,14,25,22,88.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.removeExtraField,11,14,21,19,90.47619047619048,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.removeUnparseableExtraFieldData,4,4,5,5,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.getExtraField,8,10,11,9,81.81818181818183,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.getLocalFileDataExtra,5,5,4,4,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.getName,5,5,6,6,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.isDirectory,6,7,4,2,50.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.setName,6,8,10,5,50.0,0,1
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.setSize,4,4,4,4,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.getRawName,4,4,6,6,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.hashCode,5,5,3,3,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.mergeExtraFields,20,25,31,23,74.19354838709677,0,0
@@ org.apache.commons.compress.archivers.zip.ZipArchiveEntry.equals,32,53,98,50,51.02040816326531,0,0
@@ org.apache.commons.compress.archivers.zip.ExtraFieldUtils.createExtraField,4,4,4,4,100.0,0,1
@@ org.apache.commons.compress.archivers.zip.ExtraFieldUtils.createExtraFieldNoDefault,4,4,3,3,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.ExtraFieldUtils.parse,8,10,36,24,66.66666666666666,0,0
@@ org.apache.commons.compress.archivers.zip.ExtraFieldUtils.mergeLocalFileDataData,20,27,42,24,57.14285714285714,0,0
@@ org.apache.commons.compress.archivers.zip.ExtraFieldUtils.mergeCentralDirectoryData,20,27,42,24,57.14285714285714,0,0
@@ org.apache.commons.compress.archivers.zip.ExtraFieldUtils.fillExtraField,5,5,11,11,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.ExtraFieldUtils$UnparseableExtraField.onUnparseableExtraField,9,12,24,24,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.ZipFile$2.compare,19,25,20,20,100.0,0,1
@@ org.apache.commons.compress.archivers.zip.StreamCompressor.deflate,7,8,16,15,93.75,0,0
@@ org.apache.commons.compress.archivers.zip.StreamCompressor.write,5,5,15,15,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.StreamCompressor.flushDeflater,5,5,5,5,100.0,0,0
@@ org.apache.commons.compress.archivers.zip.StreamCompressor.writeDeflated,11,15,37,28,75.67567567567568,0,0
